鬞,nroŋ
䁸,nroŋ
𪆯,nroŋ
䆫,chroŋ
牎,chroŋ
窓,chroŋ
䎫,chroŋ/chròŋ
𥍷,chroŋ
邦,proŋ
𤰫,proŋ
梆,proŋ
垹,proŋ
栙,ghroŋ
䜶,ghroŋ
降,ghroŋ/kròŋ
缸,ghroŋ
缻,ghroŋ
夅,ghroŋ
跭,ghroŋ
胮,phroŋ/broŋ
𤵸,phroŋ
𩐨,phroŋ/broŋ
𪔔,phroŋ
𪐿,phroŋ
雙,sroŋ
艭,sroŋ
䉶,sroŋ
𢥠,sroŋ
䝄,sroŋ
𨇯,sroŋ
龐,broŋ
逄,broŋ
舽,broŋ
啌,qhroŋ
舡,qhroŋ
胦,qroŋ/qiaŋ
腔,khroŋ
𤟄,khroŋ
羫,khroŋ
控,khroŋ/khòŋ
跫,khroŋ
𩩝,khroŋ
㾤,khroŋ
㼹,khroŋ/khaŋ
幢,droŋ/dròŋ
撞,droŋ/dròŋ
𣃘,droŋ/triəŋ/thrién
噇,droŋ
𩪘,droŋ
䚎,throŋ/thròŋ
𥡟,throŋ
䄝,throŋ
𧜧,throŋ
樁,troŋ
𣻛,troŋ
𩞐,dzroŋ
支,tie
𥾣,tie
只,tie/tié
汥,tie/gie/griè
㲍,tie
巵,tie
梔,tie
枝,tie
衹,tie/gie
㽻,tie
衼,tie
肢,tie
胑,tie
𨈛,tie
禔,tie/die/dei
馶,tie/gie/shiè/kiè
氏,tie/cieŋ/dié
疻,tie/ti
㩼,tie
鳷,tie
䧴,tie/shiè
觶,tie/tiè
榰,tie
㯄,tie
𪂅,tie
𧌔,tie
眵,tie/thie
䡋,tie
𩍲,tie
移,jie
䄬,jie
迻,jie
𠩗,jie
杝,jie/drié
鉹,jie/thié
袲,jie/thié/ná
箷,jie
𥠥,jie
㥴,jie/jié
詑,jie/qhie/da/thua/dá
簃,jie/drie
䔟,jie
熪,jie
扅,jie
衪,jie/jié
暆,jie
迆,jie/jié
𤝻,jie
栘,jie/di*ei
歋,jie
酏,jie/jié
匜,jie/jié
拸,jie
謻,jie
𠗺,jie
蛇,jie/tha/zhia
虵,jie/zhia/jiá
螔,jie/sie
𠐀,jie
𣣢,jie
䬁,jie
爲,ghrye/ghyè
為,ghrye
潙,ghrye/krye
䧦,ghrye/qhrye/ghryé
鄬,ghrye/ghryé
𩻟,ghrye/qhrye
嬀,krye
𪎮,qhrye
麾,qhrye
噅,qhrye
撝,qhrye
逶,qrye
𣨙,qrye/qryè
萎,qrye/qryè
㮃,qrye
覣,qrye
蜲,qrye/qryé
痿,qrye/nye
倭,qrye/qua/quá
委,qrye/qryé
䴧,qrye
蟡,qrye/kryé
糜,mrie
縻,mrie
㸏,mrie
𪎕,mrie
蘼,mrie/mrié
䊳,mrie
𪎭,mrie
𦗕,mrie/mri/mrié
醿,mrie
隓,qhye
墮,qhye/duá/thuá
隳,qhye
眭,qhye/sye/qhyi/ghuei
觿,qhye/ghuei
睢,qhye/syi/qhyi/qhỳi
䜐,qhye
鑴,qhye/ghuei
蘳,qhye/ghruá
鬌,drye/tuá/duá
錘,drye/dryè
甀,drye/dryè
𡍮,dye
垂,dye
陲,dye
倕,dye
𦈼,dye
𨿠,dye/dyè
圌,dye/dyen
篅,dye/dyen
𥳙,dye
𠂹,dye
羸,lye
𡰠,lye/l*ruen/luà
吹,thye/thyè
炊,thye
䶴,thye/thyè
